Province,Number of road,Gravel Road,Asphalt Road,Concrete Road,total,pro_th,Latitude_y,Longitude_y,area_sqkm,road_density,concrete_percentage
Nakhon Nayok,2965.0,856.31,1176.85,657.33,2690.48,นครนายก,14.217101086195193,101.1714095122016,2139.67123307373,1.2574268225941465,24.43169991971693
Nakhon Pathom,6702.0,1223.19,2547.65,1171.12,4941.95,นครปฐม,13.925016364987636,100.1031220793386,2141.72859749704,2.307458566774276,23.69752830360485
Nakhon Phanom,12807.0,6546.75,762.03,2960.18,10268.96,นครพนม,17.38478744239483,104.42948687727122,5591.2248017037,1.8366208414426386,28.82648291550459
Nakhon Ratchasima,42956.0,15651.41,5309.15,8774.05,29734.61,นครราชสีมา,14.957412592465586,102.10964833951364,20688.81885376943,1.4372309125120721,29.50786978541168
Nakhon Si Thammarat,16113.0,6487.5,3706.19,5008.41,15202.1,นครศรีธรรมราช,8.379444149800136,99.78751671895874,9892.39155890953,1.5367466915832206,32.94551410660369
Nakhon Sawan,12397.0,8203.53,2237.5,3689.14,14130.17,นครสวรรค์,15.682641609903138,100.15217769117216,9529.875918751,1.482723397499589,26.108249228424
Nonthaburi,3044.0,102.38,427.24,1212.0,1741.62,นนทบุรี,13.924156505969794,100.39281778076057,640.29422318966,2.720030787290297,69.59038136907017
Narathiwat,5672.0,1381.22,1453.65,1730.43,4565.3,นราธิวาส,6.177541966182675,101.71887844951706,4487.14355388134,1.0174178617599732,37.903971261472414
Nan,8120.0,2541.27,1158.03,1680.76,5380.06,น่าน,18.849955938288748,100.83498515136858,12165.11409446458,0.442253147666577,31.240543785757037
Bueng Kan,6760.0,3455.02,441.19,1812.13,5708.35,บึงกาฬ,18.1487850610132,103.71092512888954,3979.54529298928,1.4344226738809422,31.74525037883101
Buri Ram,26706.0,9707.0,2636.33,5429.22,17772.54,บุรีรัมย์,14.81997701397082,102.9566954240701,10047.11268203788,1.7689201427762982,30.54836281139331
Pathum Thani,4244.0,828.5,780.87,1853.61,3462.97,ปทุมธานี,14.065131349317312,100.6824058791799,1521.51426750265,2.2760023181931603,53.52659711172779
Prachuap Khiri Khan,7748.0,2412.35,1651.4,2252.93,6316.68,ประจวบคีรีขันธ์,11.944337367536384,99.63414478636494,6427.18463137311,0.9828066816637409,35.66636270952462
Prachinburi,4520.0,1798.1,1250.76,1346.17,4395.04,ปราจีนบุรี,14.048096399030886,101.65028627743328,5020.33579717407,0.8754474157832138,30.629300302158804
Pattani,6000.0,1082.88,1398.39,1373.15,3854.43,ปัตตานี,6.730531217596508,101.34977703446653,1975.95499697954,1.9506668956995028,35.62524160511412
Phra Nakhon Si Ayutthaya,6261.0,1047.13,1291.7,2315.0,4653.83,พระนครศรีอยุธยา,14.345349125837023,100.52661585083024,2547.00670486463,1.8271761872913266,49.74397431792739
Phayao,8911.0,2166.93,948.28,1636.85,4752.06,พะเยา,19.234569578460214,100.19122035483764,6189.63595036332,0.7677446683630986,34.44506172060117
Phang Nga,2863.0,762.04,703.65,1057.72,2523.41,พังงา,8.673062666482267,98.41828632263768,4580.06905945326,0.5509545745367492,41.91629580607194
Phatthalung,7159.0,2970.49,1671.75,1504.89,6147.13,พัทลุง,7.515860880213614,100.06948238888192,3858.38806176758,1.593186040800654,24.48118064853029
Phichit,8282.0,4439.71,1140.36,2579.57,8159.64,พิจิตร,16.259773199126897,100.34271584386325,4318.65126180923,1.8893954397655275,31.61377217622346
Phitsanulok,13620.0,5229.96,1988.46,3034.31,10252.73,พิษณุโลก,16.981041399320034,100.54479126727227,10598.92285961757,0.9673369771435375,29.595141976819832
Phetchaburi,5480.0,1211.29,1303.93,1543.55,4058.77,เพชรบุรี,12.94706889839366,99.61884327781746,6173.00173882862,0.6575034596977428,38.02999430862059
Phetchabun,12463.0,5539.25,1336.57,3346.18,10222.01,เพชรบูรณ์,16.277479111154292,101.14799797225275,12333.1560788834,0.8288235334588796,32.73504917330349
Phrae,8938.0,1820.7,1109.58,1402.12,4332.39,แพร่,18.19954048509303,100.06465320531704,6484.53249747241,0.6681113868561399,32.36366070459953
Phuket,2355.0,40.12,518.3,332.63,891.05,ภูเก็ต,7.965232296418781,98.34633842768754,550.09843869971,1.6198009979926702,37.33011615509792
Maha Sarakham,13827.0,4754.82,1578.88,3357.7,9691.4,มหาสารคาม,15.999690126610709,103.16564915713568,5582.58568113667,1.7360055991163459,34.6461811502982
Mukdahan,6318.0,3241.63,595.97,1283.0,5120.59,มุกดาหาร,16.5627529107766,104.51719638143253,4092.96993557997,1.251069536447601,25.05570647132459
Mae Hong Son,4652.0,2785.57,365.23,1228.91,4379.71,แม่ฮ่องสอน,18.81110053943443,98.03039254427648,12784.28056691474,0.3425855664756398,28.05916373458517
Yasothon,9032.0,5006.29,841.13,2498.18,8345.61,ยโสธร,15.895983589771545,104.33843203373438,4096.15430996103,2.037425684795405,29.93406114112689
Yala,4525.0,1099.64,1244.73,1189.21,3533.58,ยะลา,6.190856115226755,101.22851450170656,4467.26894141248,0.7909933443323737,33.6545373247528
Roi Et,23947.0,9465.25,1922.78,5293.63,16681.66,ร้อยเอ็ด,15.919830943282523,103.81390606265528,7831.5106648173,2.130069243848647,31.733232783787706
Ranong,2217.0,774.81,390.43,549.82,1715.06,ระนอง,9.967658653894404,98.69639385894988,3223.65325675301,0.5320237207296531,32.058353643604306
Rayong,8961.0,1242.58,2539.96,2747.7,6530.23,ระยอง,12.854313182239215,101.4275091949252,3665.05762206486,1.781753705776917,42.0766190471086
Ratchaburi,8671.0,1509.14,3432.21,1163.64,6104.98,ราชบุรี,13.53517480023427,99.57839141926618,5193.5302239491,1.1754971544880783,19.060504702718113
Lopburi,9773.0,3726.18,1635.25,2060.95,7422.38,ลพบุรี,15.10760128980441,100.90713027995844,6501.03118525925,1.1417234879337081,27.7667001689485
Lampang,12003.0,2463.12,2029.11,2504.52,6996.75,ลำปาง,18.32671398190715,99.51208978106412,12500.43740698581,0.559720413950467,35.79547647121878
Lamphun,8698.0,1581.29,966.18,1706.73,4254.19,ลำพูน,18.119115482572617,98.95478735066256,4481.18815811357,0.9493442028979365,40.118800523718974
Loei,10523.0,5666.22,1816.09,1900.27,9382.58,เลย,17.409016908083224,101.63597033094486,10490.07923183725,0.894424130899221,20.253171302562833
Si Sa Ket,22213.0,9991.54,1597.82,5825.26,17414.62,ศรีสะเกษ,14.856537644373349,104.36920527716292,8869.49885872576,1.963427728824566,33.45039972161322
Sakon Nakhon,20462.0,9597.86,1309.65,4060.54,14968.04,สกลนคร,17.38978329519521,103.8241426510727,9525.60546877644,1.571347884295972,27.128067535896484
Songkhla,14544.0,3618.52,4082.37,2736.89,10437.79,สงขลา,6.934392051973291,100.54540056658274,7745.41218398206,1.3476093656559591,26.220972064009718
Satun,3161.0,669.37,960.11,677.69,2307.17,สตูล,6.845420255490096,99.92692142040934,3011.55865450342,0.7661049525135125,29.373214804284036
Samut Prakan,3543.0,40.88,198.24,1338.63,1577.75,สมุทรปราการ,13.596510828767284,100.71024331899262,965.96104508808,1.633347439860926,84.84424021549675
Samut Songkhram,1299.0,129.57,568.3,156.23,854.09,สมุทรสงคราม,13.39610313397866,99.95314983719275,412.48672828899,2.0705878308928787,18.291983280450534
Samut Sakhon,2619.0,198.99,519.72,930.76,1649.47,สมุทรสาคร,13.5703339199516,100.21174720454368,866.06545786264,1.904555810447309,56.42782227018376
Sa Kaeo,7464.0,4622.78,1166.72,1552.29,7341.8,สระแก้ว,13.787287524722084,102.3227757251608,6815.11503498248,1.0772818891998166,21.143180146558063
Saraburi,6332.0,968.56,1621.49,2043.29,4633.45,สระบุรี,14.626601006351809,101.01703016486846,3487.650451485,1.3285305005342873,44.09867377440136
Sing Buri,3056.0,588.16,422.88,1043.07,2054.11,สิงห์บุรี,14.912521014428588,100.34720811625142,818.42840644624,2.5098224643977187,50.77965639620078
Sukhothai,10730.0,4786.68,1842.84,1938.23,8567.74,สุโขทัย,17.262770232336116,99.71098151617888,6672.34183636511,1.2840679045106367,22.622418514100566
Suphan Buri,11074.0,4911.91,2017.42,2410.93,9340.26,สุพรรณบุรี,14.613124909804762,99.89124458776844,5409.26108410415,1.7267164322032127,25.812236490204764
Surat Thani,9908.0,5600.28,3466.46,2827.32,11894.06,สุราษฎร์ธานี,9.053159042374674,99.09165016107036,13086.21372902809,0.9089000261104072,23.770857049653358
Surin,21480.0,8816.31,2706.15,4361.5,15883.96,สุรินทร์,14.885844257369063,103.65590287181988,8809.93517776871,1.8029599173535493,27.458517901077567
Nong Khai,5524.0,2007.66,602.28,1393.28,4003.22,หนองคาย,17.940559264166378,102.833832633138,3264.2368570057,1.2263877210406149,34.80398279385095
Nong Bua Lamphu,7102.0,3447.39,958.6,1354.06,5760.05,หนองบัวลำภู,17.181718871163188,102.30234041413271,4091.19415926986,1.4079141140121236,23.50778205050303
Ang Thong,4056.0,668.82,449.64,1520.36,2638.82,อ่างทอง,14.623542047031655,100.3485069341108,948.98724583937,2.7806696154972976,57.61514616381563
Amnat Charoen,4464.0,2566.33,851.38,879.79,4297.49,อำนาจเจริญ,15.892609018485912,104.74136853787348,3262.61378799809,1.3171923737369173,20.47218259961047
Udon Thani,24286.0,10019.04,2821.09,4984.68,17824.82,อุดรธานี,17.42451620979712,102.86266319901678,11032.27063166398,1.6156982179933626,27.964826573283773
Uttaradit,8380.0,2905.55,1323.68,1707.76,5936.99,อุตรดิตถ์,17.745137168808682,100.51456537902428,7867.48028212876,0.7546240711255505,28.764744424363187
Uthai Thani,4368.0,2356.36,1057.08,1345.68,4759.12,อุทัยธานี,15.350168095345271,99.47823310956986,6649.64380504946,0.7156954777616997,28.275815697019617
Ubon Ratchathani,29821.0,14607.97,2542.1,5925.91,23075.98,อุบลราชธานี,15.183526844572,105.11152504887026,15472.47978609577,1.4914209175918303,25.679992789038646
Bangkok,,,,,3785.214,กรุงเทพมหานคร,13.771826726531753,100.62353369679572,1566.57785515371,2.4162310143395973,
